,id,read_rate,from_domain_hash,Domain_extension,day,campaign_size,unique_user_cnt,avg_domain_read_rate,avg_domain_inbox_rate,avg_user_avg_read_rate,avg_user_domain_avg_read_rate,mb_superuser,mb_engper,mb_supersub,mb_engsec,mb_inper,mb_insec,mb_unengsec,mb_idlesub,Discretized_Read_Rate
77,78,0.01953125,50cd1a9a183758039b0841aa738c3f0b,com,Wed,256.0,214.0,0.26360952,0.5492744979999999,0.087316362,0.131511416,0.09842519699999999,0.263779528,0.216535433,0.22047244100000002,0.0,0.043307087,0.145669291,0.011811024,1
80,81,0.27777777800000003,8066470e27f62ff74b75b31bd5ee4d54,uk,Tues,18.0,17.0,0.303511439,0.669174299,0.236197916,0.209289452,0.222222222,0.333333333,0.166666667,0.111111111,0.055555556,0.055555556,0.055555556,0.0,7
92,93,0.9285714290000001,1d5920f4b44b27a802bd77c4f0536f5a,com,Mon,14.0,6.0,0.14263457300000001,0.91529653,0.36929162,0.58165739,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,13
99,100,0.0,b2f21823cb50a9b3b70447736f1ea616,com,Sat,236.0,236.0,0.00989282,0.028365696,0.086453435,0.004531544,0.106382979,0.225531915,0.208510638,0.09787234,0.0042553190000000005,0.204255319,0.15319148900000001,0.0,1
104,105,0.0,d30663cb0bed60805ad3ae4ebbad217b,com,Fri,18.0,18.0,0.06157230599999999,0.232202866,0.002974028,0.000883942,0.0,0.27777777800000003,0.055555556,0.222222222,0.111111111,0.222222222,0.055555556,0.055555556,1
108,109,0.0,50cd1a9a183758039b0841aa738c3f0b,com,Sat,75.0,75.0,0.26360952,0.5492744979999999,0.053981235,0.084314849,0.08,0.133333333,0.32,0.133333333,0.0,0.146666667,0.173333333,0.013333333000000001,1
122,123,0.086956522,636ae4d78ec2b46248fc59ac1ad737df,com,Sun,23.0,23.0,0.047170067,0.9210837629999999,0.054253072,0.099774789,0.043478261,0.21739130399999998,0.17391304300000002,0.086956522,0.0,0.260869565,0.21739130399999998,0.0,3
123,124,0.0,f74d39fa044aa309eaea14b9f57fe79c,com,Thurs,24.0,24.0,0.19130118,0.687118735,0.01289856,0.013503844,0.0,0.166666667,0.25,0.041666667000000004,0.125,0.333333333,0.083333333,0.0,1
142,143,0.26153846199999997,86d0399a308ae0a71efbff96df087dc4,com,Tues,65.0,65.0,0.046684483,0.20985432,0.19310317300000002,0.265433574,0.292307692,0.184615385,0.076923077,0.215384615,0.0,0.123076923,0.10769230800000001,0.0,7
143,144,0.0,d30663cb0bed60805ad3ae4ebbad217b,com,Thurs,18.0,18.0,0.06157230599999999,0.232202866,0.020072128,0.001174557,0.055555556,0.222222222,0.222222222,0.055555556,0.055555556,0.27777777800000003,0.111111111,0.0,1
145,146,0.030162413,86d0399a308ae0a71efbff96df087dc4,com,Fri,431.0,431.0,0.046684483,0.20985432,0.060315197,0.036601204,0.048723898,0.180974478,0.17401392100000002,0.24825986100000003,0.002320186,0.180974478,0.164733179,0.0,1
146,147,0.0,636ae4d78ec2b46248fc59ac1ad737df,com,Sat,18.0,15.0,0.047170067,0.9210837629999999,0.028068571,0.011213939,0.0,0.111111111,0.166666667,0.111111111,0.0,0.27777777800000003,0.333333333,0.0,1
147,148,0.0,111a493ad14bbb5744efc44baa54cfbd,com,Mon,11.0,11.0,0.003462057,0.008349011,0.040546807000000004,0.0,0.090909091,0.181818182,0.272727273,0.181818182,0.0,0.090909091,0.181818182,0.0,1
155,156,0.0,f74d39fa044aa309eaea14b9f57fe79c,com,Mon,18.0,6.0,0.19130118,0.687118735,0.021869818,0.036175711,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,1
160,161,0.185185185,636ae4d78ec2b46248fc59ac1ad737df,com,Tues,27.0,27.0,0.047170067,0.9210837629999999,0.07979966599999999,0.13174687599999998,0.037037037,0.296296296,0.148148148,0.037037037,0.0,0.333333333,0.148148148,0.0,5
167,168,0.0,e8b00d21d1327bfb14f9a481126b7283,com,Sun,28.0,28.0,0.04209324,0.4681664000000001,0.024784152,0.002993697,0.0,0.35714285700000004,0.25,0.17857142899999998,0.035714286,0.14285714300000002,0.035714286,0.0,1
179,180,0.090909091,f54db463750940e0e7f7630fe327845e,com,Thurs,11.0,11.0,0.145559324,0.954745878,0.172994646,0.134396257,0.090909091,0.454545455,0.0,0.272727273,0.0,0.0,0.181818182,0.0,3
187,188,0.0,f74d39fa044aa309eaea14b9f57fe79c,com,Wed,19.0,19.0,0.19130118,0.687118735,0.006895436,0.005148263,0.0,0.15789473699999998,0.31578947399999996,0.052631579000000005,0.052631579000000005,0.31578947399999996,0.10526315800000001,0.0,1
192,193,0.0,e8b00d21d1327bfb14f9a481126b7283,com,Sun,12.0,12.0,0.04209324,0.4681664000000001,0.011947992,0.0006172840000000001,0.0,0.25,0.083333333,0.0,0.41666666700000005,0.083333333,0.166666667,0.0,1
199,200,0.0,a847b22576d8152dfce301bc5c182f60,tw,Fri,19.0,15.0,0.013559776,0.7762290340000001,0.018903488,0.017022177,0.0,0.10526315800000001,0.10526315800000001,0.578947368,0.0,0.15789473699999998,0.052631579000000005,0.0,1
208,209,0.028571429,86d0399a308ae0a71efbff96df087dc4,com,Thurs,70.0,70.0,0.046684483,0.20985432,0.087507239,0.04319522,0.042857143,0.314285714,0.32857142899999997,0.257142857,0.0,0.014285714,0.042857143,0.0,1
213,214,0.20731707300000002,f74d39fa044aa309eaea14b9f57fe79c,com,Wed,82.0,60.0,0.19130118,0.687118735,0.144296259,0.25952535,0.12195122,0.45121951200000004,0.158536585,0.12195122,0.0,0.10975609800000001,0.036585366,0.0,6
214,215,0.055555556,e8b00d21d1327bfb14f9a481126b7283,com,Sat,36.0,36.0,0.04209324,0.4681664000000001,0.11548418099999999,0.075672095,0.13888888900000002,0.444444444,0.083333333,0.055555556,0.027777778,0.13888888900000002,0.111111111,0.0,2
219,220,0.037037037,7a35b38262510f0cd0191e980684dfb0,com,Fri,27.0,27.0,0.053386345999999994,0.193153258,0.145517142,0.018518519,0.185185185,0.25925925899999996,0.185185185,0.148148148,0.0,0.148148148,0.074074074,0.0,1
225,226,0.0625,50cd1a9a183758039b0841aa738c3f0b,com,Fri,16.0,16.0,0.26360952,0.5492744979999999,0.14361138699999998,0.128013595,0.125,0.3125,0.0625,0.0625,0.0,0.3125,0.125,0.0,2
228,229,0.066666667,03e210248248cd9f6421f943a82f32a6,com,Wed,15.0,15.0,0.088281363,0.9368764559999999,0.025583229,0.013847368,0.0,0.26666666699999997,0.333333333,0.133333333,0.133333333,0.133333333,0.0,0.0,2
230,231,0.032786885,f74d39fa044aa309eaea14b9f57fe79c,com,Sun,122.0,121.0,0.19130118,0.687118735,0.019741263999999998,0.024174437000000003,0.008264463,0.661157025,0.082644628,0.066115702,0.074380165,0.066115702,0.041322314,0.0,1
242,243,0.0,d30663cb0bed60805ad3ae4ebbad217b,com,Sat,203.0,199.0,0.06157230599999999,0.232202866,0.010818422,0.003603868,0.014778325,0.231527094,0.15270936,0.098522167,0.083743842,0.266009852,0.147783251,0.004926108,1
243,244,0.0,d30663cb0bed60805ad3ae4ebbad217b,com,Mon,15.0,15.0,0.06157230599999999,0.232202866,0.006725145,0.00020547099999999998,0.0,0.333333333,0.26666666699999997,0.066666667,0.066666667,0.2,0.066666667,0.0,1
245,246,0.185185185,bbc0e935e6607f1a01afa92af397101e,com,Thurs,27.0,1.0,0.181316688,0.964078202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
258,259,0.0,636ae4d78ec2b46248fc59ac1ad737df,com,Wed,49.0,1.0,0.047170067,0.9210837629999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
262,263,0.076923077,50cd1a9a183758039b0841aa738c3f0b,com,Mon,13.0,12.0,0.26360952,0.5492744979999999,0.099554579,0.10744915599999999,0.076923077,0.615384615,0.0,0.076923077,0.23076923100000002,0.0,0.0,0.0,2
277,278,0.161585366,03e210248248cd9f6421f943a82f32a6,com,Thurs,328.0,326.0,0.088281363,0.9368764559999999,0.149244005,0.14849892,0.158536585,0.320121951,0.210365854,0.137195122,0.00304878,0.10975609800000001,0.06097561,0.0,5
279,280,0.0,636ae4d78ec2b46248fc59ac1ad737df,com,Mon,21.0,14.0,0.047170067,0.9210837629999999,0.052081851,0.019458867,0.0,0.380952381,0.0,0.23809523800000001,0.0,0.23809523800000001,0.14285714300000002,0.0,1
283,284,0.875,50cd1a9a183758039b0841aa738c3f0b,com,Mon,16.0,7.0,0.26360952,0.5492744979999999,0.39039898799999995,0.846169684,0.5625,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,13
289,290,1.0,50cd1a9a183758039b0841aa738c3f0b,com,Thurs,14.0,8.0,0.26360952,0.5492744979999999,0.388407365,0.783193345,0.571428571,0.428571429,0.0,0.0,0.0,0.0,0.0,0.0,14
293,294,0.0,d30663cb0bed60805ad3ae4ebbad217b,com,Wed,40.0,40.0,0.06157230599999999,0.232202866,0.05099737,0.018839286,0.076923077,0.179487179,0.41025641,0.051282050999999995,0.0,0.076923077,0.205128205,0.0,1
295,296,0.75,50cd1a9a183758039b0841aa738c3f0b,com,Mon,16.0,15.0,0.26360952,0.5492744979999999,0.24142944100000002,0.595200163,0.3125,0.4375,0.125,0.0625,0.0,0.0,0.0625,0.0,13
309,310,0.0,21f9e3c73417dc05c54aff76f74a9a68,com,Mon,26.0,26.0,0.0065792690000000004,0.008477369,0.047972252,0.0,0.038461537999999997,0.153846154,0.307692308,0.192307692,0.0,0.153846154,0.153846154,0.0,1
316,317,0.03030303,03e210248248cd9f6421f943a82f32a6,com,Sun,33.0,33.0,0.088281363,0.9368764559999999,0.036396007,0.019002711999999998,0.0,0.151515152,0.363636364,0.272727273,0.0,0.090909091,0.12121212099999999,0.0,1
324,325,0.0,111a493ad14bbb5744efc44baa54cfbd,com,Sun,129.0,129.0,0.003462057,0.008349011,0.039216738,0.0,0.0625,0.171875,0.28125,0.1640625,0.0078125,0.1953125,0.1171875,0.0,1
328,329,0.838709677,f74d39fa044aa309eaea14b9f57fe79c,com,Wed,31.0,28.0,0.19130118,0.687118735,0.261261242,0.47826769399999997,0.258064516,0.548387097,0.161290323,0.032258065,0.0,0.0,0.0,0.0,13
329,330,0.0,50cd1a9a183758039b0841aa738c3f0b,com,Mon,17.0,17.0,0.26360952,0.5492744979999999,0.059039497,0.037559208,0.117647059,0.235294118,0.352941176,0.117647059,0.0,0.117647059,0.058823529000000006,0.0,1
330,331,0.007326007,bdc6afb4e270be5e7b3954caf0818a7d,br,Tues,273.0,273.0,0.003141268,0.7616823220000001,0.005167226,0.004899426,0.007326007,0.362637363,0.007326007,0.010989011000000002,0.014652015,0.582417582,0.010989011000000002,0.003663004,1
337,338,0.9625,50cd1a9a183758039b0841aa738c3f0b,com,Sun,80.0,59.0,0.26360952,0.5492744979999999,0.276941562,0.652360721,0.3375,0.5,0.0375,0.075,0.0,0.0,0.05,0.0,13
343,344,0.0,50cd1a9a183758039b0841aa738c3f0b,com,Sat,24.0,1.0,0.26360952,0.5492744979999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
351,352,0.0,f74d39fa044aa309eaea14b9f57fe79c,com,Mon,72.0,71.0,0.19130118,0.687118735,0.027684517000000002,0.027263374,0.027777778,0.13888888900000002,0.097222222,0.166666667,0.0,0.333333333,0.236111111,0.0,1
358,359,0.003623188,b2f21823cb50a9b3b70447736f1ea616,com,Mon,276.0,276.0,0.00989282,0.028365696,0.060840952000000004,0.0037208059999999997,0.08,0.138181818,0.269090909,0.163636364,0.010909091000000001,0.21090909100000002,0.123636364,0.0036363640000000004,1
361,362,0.0,50cd1a9a183758039b0841aa738c3f0b,com,Tues,15.0,15.0,0.26360952,0.5492744979999999,0.0012153910000000001,0.001131941,0.0,0.4,0.133333333,0.133333333,0.2,0.133333333,0.0,0.0,1
366,367,0.0,f74d39fa044aa309eaea14b9f57fe79c,com,Wed,13.0,13.0,0.19130118,0.687118735,0.058591738,0.114692264,0.0,0.384615385,0.153846154,0.076923077,0.076923077,0.23076923100000002,0.076923077,0.0,1
370,371,0.066666667,636ae4d78ec2b46248fc59ac1ad737df,com,Mon,15.0,15.0,0.047170067,0.9210837629999999,0.120265549,0.093207489,0.133333333,0.066666667,0.2,0.133333333,0.0,0.26666666699999997,0.2,0.0,2
372,373,0.0625,50cd1a9a183758039b0841aa738c3f0b,com,Tues,16.0,16.0,0.26360952,0.5492744979999999,0.07765565099999999,0.132490101,0.1875,0.25,0.125,0.0625,0.0625,0.1875,0.125,0.0,2
376,377,0.538461538,50cd1a9a183758039b0841aa738c3f0b,com,Tues,13.0,12.0,0.26360952,0.5492744979999999,0.18263604,0.59418079,0.153846154,0.615384615,0.153846154,0.0,0.0,0.076923077,0.0,0.0,13
390,391,0.0,50cd1a9a183758039b0841aa738c3f0b,com,Sat,16.0,16.0,0.26360952,0.5492744979999999,0.040155263,0.009507576,0.0,0.25,0.1875,0.125,0.0,0.1875,0.25,0.0,1
397,398,0.0,d30663cb0bed60805ad3ae4ebbad217b,com,Sat,32.0,32.0,0.06157230599999999,0.232202866,0.00488736,0.000182212,0.03125,0.1875,0.03125,0.0625,0.03125,0.625,0.03125,0.0,1
402,403,0.115942029,984627b36cb13aedfae7734539d55178,com,Sat,69.0,1.0,0.084249738,0.916337133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
410,411,0.0,f74d39fa044aa309eaea14b9f57fe79c,com,Sun,120.0,120.0,0.19130118,0.687118735,0.022652673999999998,0.013524488999999999,0.016666667,0.19166666699999999,0.175,0.11666666699999999,0.025,0.291666667,0.18333333300000001,0.0,1
411,412,0.0,d30663cb0bed60805ad3ae4ebbad217b,com,Sat,12.0,11.0,0.06157230599999999,0.232202866,0.005849732,0.000140056,0.0,0.25,0.25,0.083333333,0.166666667,0.166666667,0.083333333,0.0,1
413,414,0.0,636ae4d78ec2b46248fc59ac1ad737df,com,Sat,13.0,1.0,0.047170067,0.9210837629999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
415,416,0.0,2174b8f4d1179610379fd4fb1822b9ff,com,Fri,22.0,22.0,0.006598712,0.009859723,0.081756112,0.0,0.13636363599999998,0.22727272699999998,0.22727272699999998,0.13636363599999998,0.0,0.045454545,0.22727272699999998,0.0,1
417,418,0.05,636ae4d78ec2b46248fc59ac1ad737df,com,Mon,20.0,12.0,0.047170067,0.9210837629999999,0.08314465900000001,0.033707485,0.05,0.3,0.0,0.15,0.0,0.5,0.0,0.0,2
422,423,0.052631579000000005,f74d39fa044aa309eaea14b9f57fe79c,com,Fri,19.0,19.0,0.19130118,0.687118735,0.093503327,0.07969024,0.10526315800000001,0.10526315800000001,0.21052631600000002,0.42105263200000004,0.0,0.052631579000000005,0.10526315800000001,0.0,2
438,439,0.0,636ae4d78ec2b46248fc59ac1ad737df,com,Sat,17.0,6.0,0.047170067,0.9210837629999999,0.0028589540000000004,0.0013886089999999999,0.0,0.0,0.0,0.764705882,0.0,0.058823529000000006,0.176470588,0.0,1
449,450,0.0,d30663cb0bed60805ad3ae4ebbad217b,com,Tues,13.0,13.0,0.06157230599999999,0.232202866,0.002333731,0.00016722400000000002,0.076923077,0.076923077,0.153846154,0.0,0.076923077,0.23076923100000002,0.384615385,0.0,1
450,451,0.008928571,5a2d9da2496c3af5cf319e494a8c15dd,com,Tues,112.0,112.0,0.00359306,0.008482561999999999,0.04472316900000001,0.010473900999999999,0.071428571,0.116071429,0.23214285699999998,0.20535714300000002,0.017857143,0.25,0.107142857,0.0,1
456,457,0.0,c582c4a96b11532a745fcbd144fd8e06,com,Sun,19.0,19.0,0.003711411,0.008529811,0.045661395,0.0,0.052631579000000005,0.15789473699999998,0.21052631600000002,0.15789473699999998,0.0,0.263157895,0.15789473699999998,0.0,1
459,460,0.0,21f9e3c73417dc05c54aff76f74a9a68,com,Fri,11.0,11.0,0.0065792690000000004,0.008477369,0.090351924,0.0,0.181818182,0.090909091,0.272727273,0.181818182,0.0,0.181818182,0.090909091,0.0,1
461,462,0.0,d30663cb0bed60805ad3ae4ebbad217b,com,Sun,16.0,16.0,0.06157230599999999,0.232202866,0.011713278,7.240000000000001e-05,0.0,0.375,0.125,0.1875,0.0625,0.25,0.0,0.0,1
463,464,0.0,e1976412c99d92571455a21278518202,com,Sat,18.0,18.0,0.003751117,0.009085842,0.055408367,0.0,0.055555556,0.166666667,0.166666667,0.166666667,0.0,0.27777777800000003,0.166666667,0.0,1
468,469,0.115384615,f74d39fa044aa309eaea14b9f57fe79c,com,Sun,26.0,26.0,0.19130118,0.687118735,0.139602323,0.386546625,0.115384615,0.538461538,0.153846154,0.115384615,0.0,0.038461537999999997,0.038461537999999997,0.0,3
478,479,0.454545455,f74d39fa044aa309eaea14b9f57fe79c,com,Tues,11.0,11.0,0.19130118,0.687118735,0.295634379,0.459473721,0.363636364,0.545454545,0.0,0.090909091,0.0,0.0,0.0,0.0,12
481,482,0.041666667000000004,50cd1a9a183758039b0841aa738c3f0b,com,Fri,24.0,24.0,0.26360952,0.5492744979999999,0.09619796,0.126833001,0.125,0.291666667,0.208333333,0.041666667000000004,0.0,0.208333333,0.125,0.0,2
487,488,0.0,50cd1a9a183758039b0841aa738c3f0b,com,Tues,76.0,26.0,0.26360952,0.5492744979999999,0.018846137,0.018215578,0.04109589,0.479452055,0.0,0.04109589,0.369863014,0.0,0.068493151,0.0,1
493,494,1.0,50cd1a9a183758039b0841aa738c3f0b,com,Sat,11.0,6.0,0.26360952,0.5492744979999999,0.08723822199999999,0.504364128,0.0,0.181818182,0.727272727,0.0,0.0,0.0,0.090909091,0.0,14
496,497,0.585365854,f74d39fa044aa309eaea14b9f57fe79c,com,Fri,41.0,22.0,0.19130118,0.687118735,0.222239021,0.587387164,0.073170732,0.707317073,0.048780488,0.0,0.17073170699999998,0.0,0.0,0.0,13
504,505,0.058823529000000006,f74d39fa044aa309eaea14b9f57fe79c,com,Fri,17.0,17.0,0.19130118,0.687118735,0.15697620699999998,0.17229066899999998,0.058823529000000006,0.352941176,0.176470588,0.176470588,0.0,0.235294118,0.0,0.0,2
518,519,0.06122449,e8b00d21d1327bfb14f9a481126b7283,com,Wed,49.0,34.0,0.04209324,0.4681664000000001,0.052015241,0.043427521,0.06122449,0.6122448979999999,0.040816327,0.040816327,0.081632653,0.163265306,0.0,0.0,2
526,527,0.09540636,f74d39fa044aa309eaea14b9f57fe79c,com,Sat,283.0,279.0,0.19130118,0.687118735,0.098376445,0.10328820000000001,0.077738516,0.512367491,0.254416961,0.091872792,0.010600707,0.024734982000000003,0.024734982000000003,0.0035335690000000003,3
541,542,0.0,ea5ddf3148ee6dad41c76e96cb00e1a9,com,Sun,28.0,28.0,0.21218786399999998,0.61564894,0.065336484,0.082142857,0.035714286,0.17857142899999998,0.107142857,0.107142857,0.0,0.214285714,0.35714285700000004,0.0,1
542,543,0.0,bee0e4f8475167f214c574068558aaf8,com,Tues,16.0,16.0,0.0034840759999999996,0.008354312,0.07317175299999999,0.0,0.125,0.0625,0.375,0.25,0.0,0.125,0.0625,0.0,1
545,546,0.41666666700000005,f74d39fa044aa309eaea14b9f57fe79c,com,Thurs,12.0,12.0,0.19130118,0.687118735,0.18875956,0.49313371799999994,0.25,0.41666666700000005,0.0,0.083333333,0.083333333,0.083333333,0.083333333,0.0,11
547,548,0.028571429,636ae4d78ec2b46248fc59ac1ad737df,com,Mon,70.0,70.0,0.047170067,0.9210837629999999,0.038634972000000004,0.045616113,0.014285714,0.185714286,0.042857143,0.14285714300000002,0.0,0.32857142899999997,0.28571428600000004,0.0,1
549,550,0.076923077,f74d39fa044aa309eaea14b9f57fe79c,com,Wed,13.0,13.0,0.19130118,0.687118735,0.06849243099999999,0.089500675,0.076923077,0.384615385,0.0,0.0,0.538461538,0.0,0.0,0.0,2
556,557,0.03030303,636ae4d78ec2b46248fc59ac1ad737df,com,Tues,33.0,32.0,0.047170067,0.9210837629999999,0.059443815,0.032255561,0.03030303,0.181818182,0.151515152,0.151515152,0.0,0.181818182,0.303030303,0.0,1
560,561,0.0,636ae4d78ec2b46248fc59ac1ad737df,com,Thurs,13.0,8.0,0.047170067,0.9210837629999999,0.030944851000000002,0.022796361,0.0,0.25,0.083333333,0.333333333,0.0,0.166666667,0.166666667,0.0,1
562,563,0.0,a255758a8f152772b366900f6a2c3c2f,com,Sat,16.0,16.0,0.085190238,0.26708929600000003,0.011069363,5.65e-05,0.0625,0.3125,0.125,0.0,0.125,0.1875,0.1875,0.0,1
574,575,0.0,d30663cb0bed60805ad3ae4ebbad217b,com,Sat,162.0,159.0,0.06157230599999999,0.232202866,0.006612813,0.000913921,0.00621118,0.273291925,0.155279503,0.055900621,0.074534161,0.273291925,0.155279503,0.00621118,1
578,579,0.0,d30663cb0bed60805ad3ae4ebbad217b,com,Mon,139.0,137.0,0.06157230599999999,0.232202866,0.010253318,0.0009958789999999999,0.021582734,0.179856115,0.151079137,0.09352518,0.057553957,0.345323741,0.151079137,0.0,1
591,592,0.0,50cd1a9a183758039b0841aa738c3f0b,com,Wed,14.0,14.0,0.26360952,0.5492744979999999,0.007366669,0.002846457,0.0,0.571428571,0.071428571,0.071428571,0.071428571,0.214285714,0.0,0.0,1
601,602,0.0,d30663cb0bed60805ad3ae4ebbad217b,com,Thurs,30.0,30.0,0.06157230599999999,0.232202866,0.009058502,0.00018335200000000002,0.0,0.26666666699999997,0.133333333,0.133333333,0.066666667,0.26666666699999997,0.133333333,0.0,1
605,606,0.064516129,1339b732b01396e9b84c9b938912e648,com,Fri,31.0,31.0,0.010786822,0.012665817,0.084831932,0.039426523,0.193548387,0.161290323,0.225806452,0.225806452,0.0,0.161290323,0.032258065,0.0,2
609,610,0.018518519,d30663cb0bed60805ad3ae4ebbad217b,com,Thurs,54.0,54.0,0.06157230599999999,0.232202866,0.019685312,0.005790859000000001,0.055555556,0.240740741,0.111111111,0.074074074,0.12962963,0.314814815,0.074074074,0.0,1
616,617,1.0,50cd1a9a183758039b0841aa738c3f0b,com,Tues,11.0,1.0,0.26360952,0.5492744979999999,0.8248472509999999,0.987654321,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
621,622,0.153846154,6fdbb56d34c37686995e7032c23b8fd8,org,Fri,13.0,13.0,0.057740063,0.963496937,0.121873534,0.160931458,0.166666667,0.25,0.0,0.25,0.0,0.166666667,0.166666667,0.0,4
624,625,0.066666667,50cd1a9a183758039b0841aa738c3f0b,com,Wed,15.0,15.0,0.26360952,0.5492744979999999,0.09626826599999999,0.11102334300000001,0.133333333,0.46666666700000003,0.133333333,0.0,0.133333333,0.066666667,0.066666667,0.0,2
629,630,0.01369863,50cd1a9a183758039b0841aa738c3f0b,com,Thurs,2263.0,2186.0,0.26360952,0.5492744979999999,0.070962733,0.071842734,0.11229000900000001,0.19761273199999999,0.26127321,0.162687887,0.00265252,0.171087533,0.09106985,0.00132626,1
633,634,0.0,f74d39fa044aa309eaea14b9f57fe79c,com,Wed,14.0,11.0,0.19130118,0.687118735,0.085463977,0.053093158,0.071428571,0.9285714290000001,0.0,0.0,0.0,0.0,0.0,0.0,1
638,639,0.071428571,f54db463750940e0e7f7630fe327845e,com,Fri,14.0,14.0,0.145559324,0.954745878,0.16320110699999998,0.161899595,0.14285714300000002,0.5,0.14285714300000002,0.071428571,0.0,0.071428571,0.071428571,0.0,2
